,GradientBoostingClassifier,SVC,LogisticRegression
0,"{'train_time': 0.2505357265472412, 'pred_time': 0.06371688842773438, 'acc_train': 0.94, 'acc_test': 0.82808181315644, 'f_train': 0.9375, 'f_test': 0.6512940675258281}","{'train_time': 0.015142679214477539, 'pred_time': 0.36322665214538574, 'acc_train': 0.8533333333333334, 'acc_test': 0.8180210060807076, 'f_train': 0.732758620689655, 'f_test': 0.6277580071174378}","{'train_time': 0.10412979125976562, 'pred_time': 0.01776409149169922, 'acc_train': 0.8666666666666667, 'acc_test': 0.8225538971807629, 'f_train': 0.7575757575757576, 'f_test': 0.6390457531404863}"
1,"{'train_time': 1.9724445343017578, 'pred_time': 0.0814049243927002, 'acc_train': 0.8833333333333333, 'acc_test': 0.855942509673853, 'f_train': 0.8134920634920635, 'f_test': 0.7216040542029304}","{'train_time': 0.5893821716308594, 'pred_time': 3.003952980041504, 'acc_train': 0.86, 'acc_test': 0.8316196793808734, 'f_train': 0.7352941176470589, 'f_test': 0.662986635676932}","{'train_time': 0.15453648567199707, 'pred_time': 0.01651787757873535, 'acc_train': 0.8466666666666667, 'acc_test': 0.8385848535102266, 'f_train': 0.703125, 'f_test': 0.6774612801906206}"
2,"{'train_time': 12.59784746170044, 'pred_time': 0.03774595260620117, 'acc_train': 0.8566666666666667, 'acc_test': 0.8630182421227197, 'f_train': 0.7341269841269841, 'f_test': 0.7395338561802719}","{'train_time': 174.50678539276123, 'pred_time': 53.15491056442261, 'acc_train': 0.8533333333333334, 'acc_test': 0.8423438363736871, 'f_train': 0.7169117647058826, 'f_test': 0.685054319164645}","{'train_time': 1.2912468910217285, 'pred_time': 0.01841425895690918, 'acc_train': 0.8433333333333334, 'acc_test': 0.84212271973466, 'f_train': 0.6902985074626865, 'f_test': 0.6836851408963294}"
